,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Albany,US,1571979798,42.65,-73.75,50.0,75,1,5.82
1,Eyl,SO,1571979845,7.98,49.82,81.32,70,67,6.55
2,Mahanoro,MG,1571979846,-19.9,48.8,76.24,84,37,18.75
3,New Norfolk,AU,1571979846,-42.78,147.06,66.2,39,71,21.92
4,Yellowknife,CA,1571979846,62.45,-114.38,30.2,86,75,16.11
5,Butaritari,KI,1571979847,3.07,172.79,84.36,67,100,3.06
6,Busselton,AU,1571979728,-33.64,115.35,75.99,34,85,12.19
7,Merauke,ID,1571979847,-8.49,140.4,86.45,62,81,12.84
8,Nyurba,RU,1571979847,63.29,118.35,24.4,77,60,5.82
9,Puerto Madero,AR,1571979847,-34.61,-58.36,66.2,63,75,4.7
10,Padang,ID,1571979847,-0.92,100.36,74.61,85,33,4.0
11,Muravlenko,RU,1571979848,63.79,74.5,21.29,89,90,21.52
12,Saskylakh,RU,1571979848,71.97,114.09,8.15,87,27,15.52
13,Nikolskoye,RU,1571979848,59.7,30.79,45.0,86,59,4.47
14,Ushuaia,AR,1571979661,-54.81,-68.31,41.0,80,73,29.97
15,Cayenne,GF,1571979848,4.94,-52.33,75.2,100,22,1.12
16,Hofn,IS,1571979785,64.25,-15.21,36.95,64,100,43.22
17,Hasaki,JP,1571979700,35.73,140.83,66.2,100,75,16.11
18,Qaanaaq,GL,1571979849,77.48,-69.36,30.24,80,100,19.06
19,Rio Gallegos,AR,1571979849,-51.62,-69.22,46.09,64,82,5.57
20,Linjiang,CN,1571979849,41.81,126.91,41.16,94,100,5.03
21,Vardo,US,1571979849,39.62,-77.74,52.0,93,1,3.36
22,Pisco,PE,1571979850,-13.71,-76.2,61.0,87,24,1.07
23,Te Anau,NZ,1571979850,-45.41,167.72,48.69,84,64,5.08
24,Coquimbo,CL,1571979850,-29.95,-71.34,57.0,87,0,8.05
25,Edd,ER,1571979850,13.93,41.69,93.52,14,2,9.22
26,Iqaluit,CA,1571979851,63.75,-68.52,33.8,98,90,12.75
27,Punta Arenas,CL,1571979600,-53.16,-70.91,42.8,70,20,6.93
28,Dingle,PH,1571979851,11.0,122.67,84.65,75,14,10.85
29,Bluff,AU,1571979851,-23.58,149.07,86.25,19,17,8.1
30,Norman Wells,CA,1571979851,65.28,-126.83,24.8,100,90,3.36
31,Cherskiy,RU,1571979852,68.75,161.3,2.77,89,100,10.25
32,Georgetown,GY,1571979852,6.8,-58.16,75.2,100,20,13.15
33,Alice,ZA,1571979787,-32.79,26.83,76.35,21,100,17.81
34,Alexandria,RO,1571979743,43.97,25.33,48.0,99,0,5.53
35,Hobart,AU,1571979597,-42.88,147.33,66.2,57,93,21.92
36,Laguna,BZ,1571979852,16.17,-88.94,78.8,88,40,0.96
37,San Cristobal,HN,1571979744,14.68,-86.92,64.67,95,62,3.24
38,Vaini,IN,1571979853,15.34,74.49,71.6,94,75,13.87
39,Mataura,NZ,1571979677,-46.19,168.86,50.0,78,95,8.99
40,Mar del Plata,AR,1571979853,-46.43,-67.52,58.59,33,100,11.56
41,Rikitea,PF,1571979853,-23.12,-134.97,71.82,84,99,27.4
42,Fortuna,US,1571979853,40.6,-124.16,60.8,72,1,9.17
43,Marsa Matruh,EG,1571979854,31.35,27.25,66.2,82,40,5.82
44,Teguise,ES,1571979854,29.06,-13.56,64.4,88,100,5.82
45,Cabo San Lucas,MX,1571979814,22.89,-109.91,79.0,78,5,3.36
46,Jamestown,AU,1571979854,-33.21,138.6,68.77,26,67,22.41
47,Hithadhoo,MV,1571979752,-0.6,73.08,79.92,80,100,17.94
48,Katsuura,JP,1571979855,33.93,134.5,69.8,83,75,11.41
49,Corrales,CO,1571979855,5.83,-72.84,43.2,92,82,2.95
50,Nanortalik,GL,1571979855,60.14,-45.24,34.86,70,98,15.12
51,Terney,RU,1571979855,45.05,136.61,44.02,94,100,5.79
52,Bredasdorp,ZA,1571979855,-34.53,20.04,62.6,59,100,19.46
53,Bonavista,CA,1571979856,48.65,-53.11,45.0,84,80,5.01
54,Clyde River,CA,1571979856,70.47,-68.59,33.8,100,90,13.87
55,Atar,MR,1571979856,20.52,-13.05,81.25,39,3,14.67
56,Ilulissat,GL,1571979856,69.22,-51.1,35.6,55,100,1.12
57,Cam Ranh,VN,1571979856,11.92,109.15,89.6,66,20,13.87
58,Ribeira Grande,PT,1571979857,38.52,-28.7,64.76,86,100,6.6
59,Fort Nelson,CA,1571979857,58.81,-122.69,30.2,86,20,4.7
60,Alice Springs,AU,1571979725,-23.7,133.88,91.4,19,0,11.41
61,Atuona,PF,1571979857,-9.8,-139.03,79.9,73,40,11.27
62,Panaba,MX,1571979858,21.28,-88.27,78.26,85,83,10.71
63,La Ronge,CA,1571979858,55.1,-105.3,35.6,74,20,4.7
64,Puerto Ayora,EC,1571979858,-0.74,-90.35,66.99,94,81,5.99
65,Am Timan,TD,1571979858,11.04,20.28,77.2,81,100,1.59
66,Takoradi,GH,1571979859,4.89,-1.75,76.39,89,49,7.78
67,Torbay,CA,1571979698,47.66,-52.73,48.0,93,90,16.11
68,Ahipara,NZ,1571979859,-35.17,173.16,56.28,72,100,18.9
69,Tucurui,BR,1571979759,-3.77,-49.67,75.87,87,25,5.84
70,Athens,GR,1571979608,37.98,23.73,66.2,42,0,5.82
71,Esperance,AU,1571979859,-33.86,121.89,68.0,56,75,20.8
72,Geraldton,CA,1571979860,49.72,-86.95,26.6,92,75,4.7
73,Playa Vicente,MX,1571979860,17.83,-95.81,78.01,88,100,1.86
74,Avarua,CK,1571979860,-21.21,-159.78,75.2,73,71,3.36
75,Orlik,PL,1571979861,53.95,17.74,54.0,93,90,5.82
76,Kapaa,US,1571979845,22.08,-159.32,80.6,69,75,2.57
77,Tiksi,RU,1571979861,71.64,128.87,7.84,84,8,11.52
78,Castro,CL,1571979861,-42.48,-73.76,48.2,100,90,5.82
79,Zyryanskoye,RU,1571979861,56.83,86.62,33.06,95,100,8.32
80,Flinders,AU,1571979862,-34.58,150.85,91.4,14,46,18.34
81,Louis Trichardt,ZA,1571979862,-23.04,29.91,82.76,47,89,2.75
82,Aykhal,RU,1571979862,65.95,111.51,15.8,85,90,8.95
83,Kaitangata,NZ,1571979862,-46.28,169.85,49.84,75,100,21.12
84,Montague,CA,1571979862,46.17,-62.65,51.01,76,40,11.41
85,Faanui,PF,1571979863,-16.48,-151.75,79.74,60,0,7.27
86,Kununurra,AU,1571979863,-15.77,128.74,102.2,20,41,8.05
87,Bundibugyo,UG,1571979863,0.71,30.06,61.57,63,33,4.54
88,Cape Town,ZA,1571979792,-33.93,18.42,62.01,93,90,19.46
89,Methoni,GR,1571979864,36.82,21.7,64.99,81,36,2.39
90,Shimoda,JP,1571979864,34.7,138.93,63.0,93,75,18.34
91,Kodiak,US,1571979864,39.95,-94.76,39.2,86,1,4.7
92,Tuktoyaktuk,CA,1571979864,69.44,-133.03,17.6,92,90,5.82
93,Souillac,FR,1571979865,45.6,-0.6,55.4,93,90,10.29
94,Yatou,CM,1571979865,3.63,9.81,73.4,100,40,3.36
95,Hermanus,ZA,1571979865,-34.42,19.24,60.01,98,100,5.01
96,Lamar,US,1571979865,38.09,-102.62,28.4,92,1,5.82
97,Kruisfontein,ZA,1571979865,-34.0,24.73,72.75,35,100,13.98
98,Alta Floresta,BR,1571979866,-9.87,-56.08,71.92,86,59,1.5
99,Hailun,CN,1571979866,47.46,126.97,38.19,75,100,12.12
100,Tasiilaq,GL,1571979866,65.61,-37.64,24.8,53,0,4.7
101,Hilo,US,1571979866,19.71,-155.08,80.6,69,1,0.69
102,Sangar,RU,1571979867,63.92,127.47,13.19,79,94,7.58
103,Tartagal,AR,1571979578,-22.52,-63.8,72.27,47,96,2.3
104,Tadine,NC,1571979867,-21.55,167.88,68.63,64,70,12.73
105,Meulaboh,ID,1571979867,4.14,96.13,81.0,75,28,6.73
106,Kavieng,PG,1571979868,-2.57,150.8,84.58,75,100,12.55
107,Bambous Virieux,MU,1571979868,-20.34,57.76,79.0,88,75,9.17
108,Broken Hill,AU,1571979868,-31.97,141.45,80.6,13,20,12.75
109,Port Elizabeth,US,1571979868,39.31,-74.98,53.6,93,1,4.07
110,Soyo,AO,1571979868,-6.13,12.37,79.18,83,86,5.14
111,Port Alfred,ZA,1571979869,-33.59,26.89,73.0,58,100,1.01
112,Jieshi,CN,1571979869,22.82,115.83,82.99,56,32,14.43
113,Saint George,GR,1571979869,39.45,22.34,50.0,75,0,2.15
114,Saint-Philippe,CA,1571979869,45.36,-73.48,46.99,87,75,4.7
115,Vangaindrano,MG,1571979870,-23.35,47.6,84.47,68,4,3.96
116,Pacifica,US,1571979870,37.61,-122.49,78.01,16,1,3.36
117,Conakry,GN,1571979764,9.52,-13.7,76.66,86,69,2.55
118,Port Lincoln,AU,1571979870,-34.72,135.86,61.95,49,86,27.04
119,Thompson,CA,1571979871,55.74,-97.86,32.0,83,75,4.7
120,Luanda,AO,1571979871,-8.83,13.24,77.36,82,100,5.99
121,Kodinsk,RU,1571979871,58.6,99.18,35.91,76,96,10.29
122,Leningradskiy,RU,1571979871,69.38,178.42,21.11,76,75,27.76
123,Hamilton,CA,1571979622,43.26,-79.87,48.99,75,90,3.36
124,Nishihara,JP,1571979872,35.74,139.53,63.0,93,75,26.4
125,Ketchikan,US,1571979872,55.34,-131.65,44.6,87,90,4.7
126,Seabra,BR,1571979872,-12.42,-41.77,61.61,95,88,10.85
127,Sabak,MY,1571979872,3.77,100.99,89.6,70,75,4.7
128,East London,ZA,1571979872,-33.02,27.91,64.4,77,91,4.7
129,Sorland,NO,1571979873,67.67,12.69,39.2,93,75,14.99
130,Chuy,UY,1571979873,-33.69,-53.46,53.69,90,11,5.73
131,Bud,NO,1571979873,62.91,6.91,48.2,87,75,17.22
132,Kahului,US,1571979874,20.89,-156.47,80.6,61,20,10.29
133,Nome,US,1571979301,30.04,-94.42,69.8,88,90,3.36
134,Keningau,MY,1571979874,5.33,116.16,91.4,70,75,5.82
135,Gombong,ID,1571979874,-7.19,109.31,91.54,44,91,9.1
136,Kannad,IN,1571979874,20.26,75.13,71.6,94,75,6.93
137,Ulladulla,AU,1571979875,-35.36,150.48,91.4,14,61,18.34
138,Bitung,ID,1571979875,1.44,125.19,80.6,88,75,14.99
139,Biak,ID,1571979875,-0.91,122.88,81.63,80,0,12.37
140,Upernavik,GL,1571979875,72.79,-56.15,31.71,63,100,11.81
141,Bend,US,1571979593,44.06,-121.32,55.99,35,1,5.82
142,Bethel,US,1571979876,60.79,-161.76,30.2,80,1,9.17
143,Kavaratti,IN,1571979876,10.57,72.64,84.2,79,40,17.22
144,Caravelas,BR,1571979876,-17.73,-39.27,71.62,97,100,4.65
145,Srednekolymsk,RU,1571979876,67.46,153.71,-5.05,97,0,1.74
146,Sanming,CN,1571979877,26.24,117.6,72.41,68,63,0.81
147,Xining,CN,1571979877,36.62,101.77,38.16,47,97,4.72
148,Qasigiannguit,GL,1571979877,68.82,-51.19,35.6,55,100,1.12
149,Sur,OM,1571979877,22.57,59.53,89.69,30,0,10.94
150,Mount Isa,AU,1571979877,-20.73,139.49,96.8,12,57,13.87
151,Dryden,CA,1571979853,49.79,-92.84,32.0,88,75,10.29
152,Soeng Sang,TH,1571979878,14.43,102.46,93.0,70,75,6.93
153,Talnakh,RU,1571979878,69.49,88.39,28.4,86,75,17.9
154,Drovyanaya,RU,1571979878,51.58,113.05,28.4,54,60,2.24
155,Seoul,KR,1571979809,37.57,126.98,71.6,46,1,4.7
156,Victoria,BN,1571979626,5.28,115.24,89.6,62,75,6.93
157,Kaka,TM,1571979879,37.35,59.62,71.89,14,77,14.99
158,Longyearbyen,NO,1571979879,78.22,15.63,19.4,67,75,11.41
159,Westport,US,1571979673,41.14,-73.36,59.0,76,1,4.7
160,Waipawa,NZ,1571979739,-39.94,176.59,53.01,77,95,7.0
161,Chokurdakh,RU,1571979879,70.62,147.9,-5.1,97,12,7.11
162,Le Port,FR,1571979879,42.87,1.37,52.0,73,78,5.01
163,Itoman,JP,1571979880,26.12,127.67,80.6,69,75,17.22
164,Dowa,CN,1571979880,31.0,94.93,40.08,48,43,3.4
165,Santa Cruz,BR,1571979682,-6.22,-36.02,67.26,91,9,6.85
166,Barrow,AR,1571979880,-38.31,-60.23,60.22,46,99,14.32
167,Kidal,ML,1571979881,18.44,1.41,80.2,25,5,8.21
168,Mokokchung,IN,1571979881,26.32,94.52,64.02,99,100,2.26
169,Provideniya,RU,1571979881,64.42,-173.23,28.4,68,75,4.47
170,Hit,IQ,1571979881,33.64,42.83,77.47,42,50,4.7
171,Rawson,AR,1571979881,-43.3,-65.11,56.1,62,100,4.7
172,Sinazongwe,ZM,1571979882,-17.26,27.46,86.27,38,1,7.58
173,Atambua,ID,1571979882,-9.11,124.89,83.91,55,70,6.87
174,MBour,SN,1571979882,14.41,-16.97,78.8,88,100,4.7
175,Hostotipaquillo,MX,1571979882,21.06,-104.05,66.0,92,100,3.0
176,Ostrovnoy,RU,1571979882,68.05,39.51,27.54,97,100,4.52
177,Villarrica,CL,1571979883,-39.28,-72.23,50.0,93,98,2.24
178,Lebu,ET,1571979883,8.96,38.73,58.8,51,25,2.28
179,Saint-Andre-Avellin,CA,1571979883,45.72,-75.07,43.0,80,75,4.7
180,Pevek,RU,1571979883,69.7,170.27,15.21,94,100,12.55
181,Kocevje,SI,1571979884,45.64,14.86,53.6,81,1,3.36
182,Pundaguitan,PH,1571979884,6.37,126.17,83.88,68,75,1.25
183,Beringovskiy,RU,1571979884,63.05,179.32,20.1,74,90,21.41
184,Portmore,JM,1571979885,17.97,-76.87,78.8,78,20,5.82
185,Maningrida,AU,1571979885,-12.05,134.23,86.67,56,70,12.3
186,Zenzeli,RU,1571979885,45.92,47.05,57.4,50,0,6.76
187,Hay River,CA,1571979885,60.82,-115.79,37.4,86,75,8.05
188,Uruzgan,AF,1571979886,32.93,66.63,55.04,20,0,4.32
189,Mehamn,NO,1571979886,71.03,27.85,32.0,80,90,19.46
190,Hovd,NO,1571979886,63.83,10.7,51.01,93,75,12.75
191,Cidreira,BR,1571979886,-30.17,-50.22,66.16,85,0,2.46
192,Arraial do Cabo,BR,1571979886,-22.97,-42.02,71.69,84,14,20.22
193,Port-Gentil,GA,1571979887,-0.72,8.78,79.34,85,100,12.57
194,Nouadhibou,MR,1571979887,20.93,-17.03,76.66,58,28,9.86
195,Mirabad,IR,1571979887,28.27,61.33,66.92,24,0,5.88
196,Urubamba,PE,1571979887,-13.31,-72.12,51.8,53,68,2.24
197,Cabedelo,BR,1571979888,-6.97,-34.84,73.4,94,40,3.36
198,Mindelheim,DE,1571979888,48.05,10.49,55.0,93,75,8.05
199,Half Moon Bay,US,1571979640,37.46,-122.43,78.01,16,1,3.36
200,Adrar,DZ,1571979888,27.87,-0.29,57.2,26,0,11.41
201,Morondava,MG,1571979889,-20.3,44.28,98.08,30,3,2.48
202,Thurso,CA,1571979889,45.6,-75.25,43.0,80,75,4.7
203,Carnarvon,ZA,1571979889,-30.97,22.13,57.43,44,100,13.62
204,Alatri,IT,1571979889,41.73,13.34,64.99,87,75,4.7
205,Vanimo,PG,1571979889,-2.67,141.3,80.76,72,100,2.55
206,Anito,PH,1571979890,12.45,125.29,84.52,72,32,8.61
207,Lazaro Cardenas,MX,1571979890,28.39,-105.62,53.6,40,5,23.04
208,Walvis Bay,NA,1571979890,-22.95,14.51,60.01,92,96,1.99
209,Tshane,BW,1571979890,-24.02,21.87,72.73,12,20,10.29
210,Bathsheba,BB,1571979891,13.22,-59.52,82.4,69,20,13.87
211,Trelew,AR,1571979891,-43.25,-65.31,60.93,33,97,11.92
212,Roald,NO,1571979891,62.58,6.12,48.2,70,75,12.75
213,Salisbury,GB,1571979624,51.07,-1.8,53.01,93,83,6.93
214,Huntington,US,1571979892,40.87,-73.43,59.0,54,20,5.82
215,Lorengau,PG,1571979892,-2.02,147.27,85.26,68,100,8.16
216,Yulara,AU,1571979713,-25.24,130.99,87.8,20,0,12.75
217,Borogontsy,RU,1571979892,62.67,131.17,17.85,89,100,3.83
218,Imbituba,BR,1571979893,-28.24,-48.67,66.2,93,75,2.24
219,Khatanga,RU,1571979893,71.98,102.47,15.33,81,33,15.19
220,Sao Filipe,CV,1571979893,14.9,-24.5,74.79,76,95,2.15
221,Basoko,CD,1571979893,1.23,23.61,75.9,89,48,1.1
222,Oranjemund,ZA,1571979893,-28.55,16.43,67.71,36,95,12.21
223,Lampazos de Naranjo,MX,1571979894,27.02,-100.51,55.87,64,56,20.85
224,Nacimiento,CL,1571979894,-37.5,-72.67,42.82,93,0,4.43
225,Leninskoye,RU,1571979894,54.82,82.85,37.4,86,90,11.18
226,Nuuk,GL,1571979683,64.17,-51.74,39.2,60,92,28.86
227,Richards Bay,ZA,1571979895,-28.77,32.06,71.17,72,0,14.63
228,Dikson,RU,1571979895,73.51,80.55,19.35,89,100,10.18
229,Port Macquarie,AU,1571979895,-31.43,152.91,89.6,25,0,19.46
230,College,US,1571979896,64.86,-147.8,30.0,86,75,5.82
231,Carballo,ES,1571979896,43.21,-8.69,61.0,77,75,2.24
232,Rotenburg,DE,1571979896,53.12,9.4,57.2,87,75,14.99
233,Coihaique,CL,1571979897,-45.58,-72.07,42.8,87,75,1.12
234,Grindavik,IS,1571979897,63.84,-22.43,32.0,67,75,26.4
235,Bozoum,CF,1571979897,6.31,16.38,69.84,97,100,2.3
236,Alofi,NU,1571979726,-19.06,-169.92,75.2,83,96,10.29
237,Wladyslawowo,PL,1571979897,54.79,18.4,57.0,93,90,5.82
238,Solnechnyy,RU,1571979898,50.72,136.64,46.33,60,23,4.54
239,Muborak,UZ,1571979898,39.25,65.15,66.65,18,19,2.98
240,Wanaka,NZ,1571979742,-44.7,169.14,44.91,73,94,4.07
241,Ponta do Sol,BR,1571979898,-20.63,-46.0,66.09,90,2,1.16
242,Qarqin,AF,1571979898,37.41,66.03,65.64,17,0,2.26
243,Baijiantan,CN,1571979899,45.63,85.18,49.93,27,99,5.66
244,Teahupoo,PF,1571979899,-17.83,-149.27,80.6,65,40,6.93
245,Egvekinot,RU,1571979899,66.32,-179.17,7.79,68,24,7.49
246,Pangody,RU,1571979899,65.85,74.49,16.57,91,2,15.79
247,Cockburn Town,TC,1571979900,21.46,-71.14,82.98,75,94,19.26
248,Pecos,US,1571979900,31.42,-103.49,41.0,56,90,8.05
249,Vao,EE,1571979900,59.1,26.19,44.67,94,35,9.98
250,Mackay,CA,1571979900,53.65,-115.58,44.6,75,90,2.24
251,Sechura,PE,1571979901,-5.56,-80.82,63.07,88,80,9.1
252,Kisaran,ID,1571979901,2.98,99.62,86.38,73,17,1.52
253,Lizzano,IT,1571979902,40.39,17.45,64.99,100,40,4.7
254,Margate,AU,1571979902,-43.03,147.26,66.2,57,93,21.92
255,Airai,TL,1571979902,-8.93,125.41,80.17,53,33,8.25
256,Guerrero Negro,MX,1571979902,27.97,-114.04,73.85,29,0,4.94
257,Turukhansk,RU,1571979902,65.8,87.96,22.08,94,100,13.29
258,Genhe,CN,1571979903,50.78,121.52,30.54,43,47,6.11
259,Huilong,CN,1571979903,31.15,106.5,55.53,85,100,6.29
260,Pahrump,US,1571979903,36.21,-115.98,60.8,6,1,6.93
261,Curuguaty,PY,1571979903,-24.47,-55.69,65.64,56,0,3.02
262,Velsk,RU,1571979904,61.07,42.1,44.78,82,100,8.14
263,Los Llanos de Aridane,ES,1571979904,28.66,-17.92,64.4,59,85,6.93
264,Peniche,PT,1571979904,39.36,-9.38,54.0,93,13,3.36
265,Iquitos,PE,1571979620,-3.75,-73.25,75.2,94,90,4.7
266,Batagay,RU,1571979904,67.65,134.64,2.89,91,74,2.77
